2024-10-11 15:08:37,041 INFO    Thread-83 (_run_job):92600 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_setup.py:_flush():79] Configure stats pid to 92600
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_setup.py:_flush():79] Loading settings from /Users/abhinavraundhal/.config/wandb/settings
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_setup.py:_flush():79] Loading settings from /Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/3/wandb/settings
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'SMAI_ASG_3_Multi_Label_Classification', 'entity': 'abhinav7', 'root_dir': '/Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/3', 'run_id': 'ybdufnah', 'sweep_param_path': '/Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/3/wandb/sweep-mt7hz0x8/config-ybdufnah.yaml', 'sweep_id': 'mt7hz0x8'}
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'assignments/3/a3_mlp_classification_multilabel.py', 'program_abspath': '/Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/3/a3_mlp_classification_multilabel.py', 'program': '/Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/3/a3_mlp_classification_multilabel.py'}
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_init.py:_log_setup():532] Logging user logs to /Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/3/wandb/run-20241011_150837-ybdufnah/logs/debug.log
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/3/wandb/run-20241011_150837-ybdufnah/logs/debug-internal.log
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_init.py:init():617] calling init triggers
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_init.py:init():624] wandb.init called with sweep_config: {'activation_function': 'relu', 'l_r': 0.001, 'neurons_per_layer': [16, 10], 'no_of_epochs': 200, 'optimizer': 'mini_batch_gradient_descent'}
config: {}
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_init.py:init():667] starting backend
2024-10-11 15:08:37,042 INFO    Thread-83 (_run_job):92600 [wandb_init.py:init():671] sending inform_init request
2024-10-11 15:08:37,048 INFO    Thread-83 (_run_job):92600 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-10-11 15:08:37,048 INFO    Thread-83 (_run_job):92600 [wandb_init.py:init():684] backend started and connected
