2024-11-02 12:25:05,649 INFO    Thread-200 (_run_job):38806 [wandb_init.py:_log_setup():534] Logging user logs to /Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/4/wandb/run-20241102_122505-oqubkwfj/logs/debug.log
2024-11-02 12:25:05,649 INFO    Thread-200 (_run_job):38806 [wandb_init.py:_log_setup():535] Logging internal logs to /Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/4/wandb/run-20241102_122505-oqubkwfj/logs/debug-internal.log
2024-11-02 12:25:05,649 INFO    Thread-200 (_run_job):38806 [wandb_init.py:_jupyter_setup():480] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x3021c0e00>
2024-11-02 12:25:05,649 INFO    Thread-200 (_run_job):38806 [wandb_init.py:init():621] calling init triggers
2024-11-02 12:25:05,649 INFO    Thread-200 (_run_job):38806 [wandb_init.py:init():628] wandb.init called with sweep_config: {'dropout_prob': 0.3, 'lr': 0.001, 'optimizer_type': 'sgd'}
config: {}
2024-11-02 12:25:05,649 INFO    Thread-200 (_run_job):38806 [wandb_init.py:init():671] starting backend
2024-11-02 12:25:05,650 INFO    Thread-200 (_run_job):38806 [wandb_init.py:init():675] sending inform_init request
2024-11-02 12:25:05,654 INFO    Thread-200 (_run_job):38806 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-02 12:25:05,655 INFO    Thread-200 (_run_job):38806 [wandb_init.py:init():688] backend started and connected
2024-11-02 12:25:05,664 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_config_callback():1390] config_cb None None {'dropout_prob': 0.3, 'lr': 0.001, 'optimizer_type': 'sgd'}
2024-11-02 12:25:05,675 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_label_probe_notebook():1342] probe notebook
2024-11-02 12:25:05,676 INFO    Thread-200 (_run_job):38806 [wandb_init.py:init():783] updated telemetry
2024-11-02 12:25:05,703 INFO    Thread-200 (_run_job):38806 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-11-02 12:25:06,184 INFO    Thread-200 (_run_job):38806 [wandb_init.py:init():867] starting run threads in backend
2024-11-02 12:25:06,270 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_console_start():2463] atexit reg
2024-11-02 12:25:06,271 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-11-02 12:25:06,271 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-11-02 12:25:06,271 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_redirect():2401] Redirects installed.
2024-11-02 12:25:06,271 INFO    Thread-200 (_run_job):38806 [wandb_init.py:init():911] run started, returning control to user process
2024-11-02 12:28:53,886 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_finish():2158] finishing run abhinav7/SMAI_ASG_4_MultilabelCNN/oqubkwfj
2024-11-02 12:28:53,889 INFO    Thread-200 (_run_job):38806 [jupyter.py:save_history():459] not saving jupyter history
2024-11-02 12:28:53,889 INFO    Thread-200 (_run_job):38806 [jupyter.py:save_ipynb():387] not saving jupyter notebook
