,summary,config,name
10,"{'_runtime': 0.60689, '_step': 11, '_timestamp': 1728640830.316813, '_wandb.runtime': 0, 'epoch': 10, 'hamming_loss': 0.3431640625, 'train_accuracy': 0.6568359375, 'train_f1_score': 0, 'train_hamming_loss': 0.3431640625, 'train_loss': 5.142089142931518, 'train_precision': 0, 'train_recall': 0, 'val_accuracy': 0.659375, 'val_f1_score': 0, 'val_hamming_loss': 0.340625, 'val_loss': 5.1393581215155475, 'val_precision': 0, 'val_recall': 0}","{'no_of_epochs': 200, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'batch_gradient_descent'}","l_r_0.01_act_relu_opt_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_200"
11,"{'_runtime': 0.810255, '_step': 15, '_timestamp': 1728640837.007465, '_wandb.runtime': 0, 'epoch': 14, 'hamming_loss': 0.3212890625, 'train_accuracy': 0.679296875, 'train_f1_score': 0.2529572338489536, 'train_hamming_loss': 0.320703125, 'train_loss': 4.843830068116864, 'train_precision': 0.6303854875283447, 'train_recall': 0.15822424587364825, 'val_accuracy': 0.6578125, 'val_f1_score': 0.1858736059479554, 'val_hamming_loss': 0.3421875, 'val_loss': 5.13242376569414, 'val_precision': 0.49019607843137253, 'val_recall': 0.11467889908256881}","{'optimizer': 'sgd', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.01}","l_r_0.01_act_relu_opt_sgd_hl_2_neurons_[16, 10]_epochs_200"
12,"{'_runtime': 0.514518, '_step': 7, '_timestamp': 1728640851.834249, '_wandb.runtime': 0, 'epoch': 6, 'hamming_loss': 0.3431640625, 'train_accuracy': 0.6568359375, 'train_f1_score': 0, 'train_hamming_loss': 0.3431640625, 'train_loss': 5.142438458025199, 'train_precision': 0, 'train_recall': 0, 'val_accuracy': 0.659375, 'val_f1_score': 0, 'val_hamming_loss': 0.340625, 'val_loss': 5.138860711868506, 'val_precision': 0, 'val_recall': 0}","{'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10, 5], 'activation_function': 'relu', 'l_r': 0.01}","l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_3_neurons_[16, 10, 5]_epochs_100"
13,"{'_runtime': 0.557419, '_step': 12, '_timestamp': 1728640863.494439, '_wandb.runtime': 0, 'epoch': 11, 'hamming_loss': 0.3431640625, 'train_accuracy': 0.6568359375, 'train_f1_score': 0, 'train_hamming_loss': 0.3431640625, 'train_loss': 5.142089269985025, 'train_precision': 0, 'train_recall': 0, 'val_accuracy': 0.659375, 'val_f1_score': 0, 'val_hamming_loss': 0.340625, 'val_loss': 5.139358819088171, 'val_precision': 0, 'val_recall': 0}","{'neurons_per_layer': [16, 10, 5], 'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'batch_gradient_descent', 'no_of_epochs': 100}","l_r_0.01_act_relu_opt_batch_gradient_descent_hl_3_neurons_[16, 10, 5]_epochs_100"
14,"{'_runtime': 0.814218, '_step': 12, '_timestamp': 1728640878.955789, '_wandb.runtime': 0, 'epoch': 11, 'hamming_loss': 0.3404296875, 'train_accuracy': 0.66015625, 'train_f1_score': 0.07838983050847458, 'train_hamming_loss': 0.33984375, 'train_loss': 4.9865228210507215, 'train_precision': 0.5648854961832062, 'train_recall': 0.0421172453044963, 'val_accuracy': 0.65625, 'val_f1_score': 0.030837004405286344, 'val_hamming_loss': 0.34375, 'val_loss': 5.162722250673733, 'val_precision': 0.3888888888888889, 'val_recall': 0.016055045871559634}","{'l_r': 0.01, 'optimizer': 'sgd', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10, 5], 'activation_function': 'relu'}","l_r_0.01_act_relu_opt_sgd_hl_3_neurons_[16, 10, 5]_epochs_100"
15,"{'_runtime': 3.488075, '_step': 8, '_timestamp': 1728640887.974545, '_wandb.runtime': 3, 'epoch': 7, 'hamming_loss': 0.3431640625, 'train_accuracy': 0.6568359375, 'train_f1_score': 0, 'train_hamming_loss': 0.3431640625, 'train_loss': 5.095014903507182, 'train_precision': 0, 'train_recall': 0, 'val_accuracy': 0.659375, 'val_f1_score': 0, 'val_hamming_loss': 0.340625, 'val_loss': 5.214942251176952, 'val_precision': 0, 'val_recall': 0}","{'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10, 5], 'activation_function': 'relu', 'l_r': 0.01}","l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_3_neurons_[16, 10, 5]_epochs_200"
16,"{'_runtime': 0.792535, '_step': 10, '_timestamp': 1728640895.866369, '_wandb.runtime': 0, 'epoch': 9, 'hamming_loss': 0.3431640625, 'train_accuracy': 0.6568359375, 'train_f1_score': 0, 'train_hamming_loss': 0.3431640625, 'train_loss': 5.142088920595148, 'train_precision': 0, 'train_recall': 0, 'val_accuracy': 0.659375, 'val_f1_score': 0, 'val_hamming_loss': 0.340625, 'val_loss': 5.139413178222768, 'val_precision': 0, 'val_recall': 0}","{'l_r': 0.01, 'optimizer': 'batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10, 5], 'activation_function': 'relu'}","l_r_0.01_act_relu_opt_batch_gradient_descent_hl_3_neurons_[16, 10, 5]_epochs_200"
17,"{'_runtime': 0.907315, '_step': 14, '_timestamp': 1728640911.2973719, '_wandb.runtime': 0, 'epoch': 13, 'hamming_loss': 0.3294921875, 'train_accuracy': 0.6697265625, 'train_f1_score': 0.1178925404277517, 'train_hamming_loss': 0.3302734375, 'train_loss': 4.953777724288171, 'train_precision': 0.70625, 'train_recall': 0.064314171883893, 'val_accuracy': 0.66796875, 'val_f1_score': 0.1014799154334038, 'val_hamming_loss': 0.33203125, 'val_loss': 5.067655617794811, 'val_precision': 0.6486486486486487, 'val_recall': 0.05504587155963303}","{'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'sgd', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10, 5]}","l_r_0.01_act_relu_opt_sgd_hl_3_neurons_[16, 10, 5]_epochs_200"
18,"{'_runtime': 1.588237, '_step': 60, '_timestamp': 1728640917.2823648, '_wandb.runtime': 1, 'epoch': 59, 'hamming_loss': 0.33359375, 'train_accuracy': 0.66640625, 'train_f1_score': 0.16274509803921566, 'train_hamming_loss': 0.33359375, 'train_loss': 4.9683362844005, 'train_precision': 0.5865724381625441, 'train_recall': 0.09447922595332954, 'val_accuracy': 0.6671875, 'val_f1_score': 0.15476190476190477, 'val_hamming_loss': 0.3328125, 'val_loss': 5.112373999825489, 'val_precision': 0.5735294117647058, 'val_recall': 0.08944954128440367}","{'l_r': 0.001, 'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [8], 'activation_function': 'relu'}",l_r_0.001_act_relu_opt_mini_batch_gradient_descent_hl_1_neurons_[8]_epochs_100
19,"{'_runtime': 1.5514679999999998, '_step': 90, '_timestamp': 1728640932.74387, '_wandb.runtime': 1, 'epoch': 89, 'hamming_loss': 0.3357421875, 'train_accuracy': 0.663671875, 'train_f1_score': 0.15339233038348082, 'train_hamming_loss': 0.336328125, 'train_loss': 4.969174269450877, 'train_precision': 0.5631768953068592, 'train_recall': 0.0887877063175868, 'val_accuracy': 0.6640625, 'val_f1_score': 0.15019762845849802, 'val_hamming_loss': 0.3359375, 'val_loss': 5.136781020392158, 'val_precision': 0.5428571428571428, 'val_recall': 0.0871559633027523}","{'no_of_epochs': 100, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.001, 'optimizer': 'batch_gradient_descent'}",l_r_0.001_act_relu_opt_batch_gradient_descent_hl_1_neurons_[8]_epochs_100
