,summary,config,name
10,"{'_runtime': 0.487042, '_step': 9, '_timestamp': 1728598418.417462, '_wandb.runtime': 0, 'epoch': 8, 'train_accuracy': 0.454172366621067, 'train_f1_score': 0.10410787080589524, 'train_loss': 0.320502952971632, 'train_precision': 0.0756953944368445, 'train_recall': 0.16666666666666666, 'val_accuracy': 0.2568306010928962, 'val_f1_score': 0.08173913043478262, 'val_loss': 0.25763040489963857, 'val_precision': 0.05136612021857924, 'val_recall': 0.2}","{'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'batch_gradient_descent', 'no_of_epochs': 200}","l_r_0.01_act_relu_opt_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_200"
11,"{'_runtime': 1.01538, '_step': 16, '_timestamp': 1728598434.650676, '_wandb.runtime': 1, 'epoch': 15, 'train_accuracy': 0.615595075239398, 'train_f1_score': 0.3027174995201778, 'train_loss': 0.15440332387307298, 'train_precision': 0.29771698270984687, 'train_recall': 0.30788886540313304, 'val_accuracy': 0.5628415300546448, 'val_f1_score': 0.3472556442388489, 'val_loss': 0.1731016637763655, 'val_precision': 0.329296066252588, 'val_recall': 0.3672872340425532}","{'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'sgd', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10]}","l_r_0.01_act_relu_opt_sgd_hl_2_neurons_[16, 10]_epochs_200"
12,"{'_runtime': 0.503289, '_step': 18, '_timestamp': 1728598440.5077069, '_wandb.runtime': 0, 'epoch': 17, 'train_accuracy': 0.5718194254445964, 'train_f1_score': 0.2194488273202135, 'train_loss': 0.15945497943577164, 'train_precision': 0.20549890350877195, 'train_recall': 0.2354306113342258, 'val_accuracy': 0.5573770491803278, 'val_f1_score': 0.24304483713765163, 'val_loss': 0.1791631826588929, 'val_precision': 0.22687074829931975, 'val_recall': 0.26170212765957446}","{'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10, 5]}","l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_3_neurons_[16, 10, 5]_epochs_100"
13,"{'_runtime': 0.521891, '_step': 9, '_timestamp': 1728598456.19272, '_wandb.runtime': 0, 'epoch': 8, 'train_accuracy': 0.454172366621067, 'train_f1_score': 0.10410787080589524, 'train_loss': 0.32508064858338, 'train_precision': 0.0756953944368445, 'train_recall': 0.16666666666666666, 'val_accuracy': 0.2568306010928962, 'val_f1_score': 0.08173913043478262, 'val_loss': 0.26295157260411306, 'val_precision': 0.05136612021857924, 'val_recall': 0.2}","{'no_of_epochs': 100, 'neurons_per_layer': [16, 10, 5], 'activation_function': 'relu', 'l_r': 0.01, 'optimizer': 'batch_gradient_descent'}","l_r_0.01_act_relu_opt_batch_gradient_descent_hl_3_neurons_[16, 10, 5]_epochs_100"
14,"{'_runtime': 0.941256, '_step': 10, '_timestamp': 1728598462.5664132, '_wandb.runtime': 0, 'epoch': 9, 'train_accuracy': 0.6087551299589603, 'train_f1_score': 0.29948440583674435, 'train_loss': 0.1580416857753977, 'train_precision': 0.2951843895452918, 'train_recall': 0.30391155264332187, 'val_accuracy': 0.5573770491803278, 'val_f1_score': 0.34232798344266757, 'val_loss': 0.17428159487426662, 'val_precision': 0.3254622577846332, 'val_recall': 0.3610372340425532}","{'l_r': 0.01, 'optimizer': 'sgd', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10, 5], 'activation_function': 'relu'}","l_r_0.01_act_relu_opt_sgd_hl_3_neurons_[16, 10, 5]_epochs_100"
15,"{'_runtime': 0.539237, '_step': 20, '_timestamp': 1728598477.8028648, '_wandb.runtime': 1, 'epoch': 19, 'train_accuracy': 0.600547195622435, 'train_f1_score': 0.2729585282920896, 'train_loss': 0.15850719692474824, 'train_precision': 0.2896276032237733, 'train_recall': 0.2581037600695178, 'val_accuracy': 0.6065573770491803, 'val_f1_score': 0.3507259666957471, 'val_loss': 0.17413885424153328, 'val_precision': 0.3814241698048614, 'val_recall': 0.32460106382978726}","{'l_r': 0.01, 'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10, 5], 'activation_function': 'relu'}","l_r_0.01_act_relu_opt_mini_batch_gradient_descent_hl_3_neurons_[16, 10, 5]_epochs_200"
16,"{'_runtime': 0.503785, '_step': 5, '_timestamp': 1728598488.971458, '_wandb.runtime': 0, 'epoch': 4, 'train_accuracy': 0.3693570451436389, 'train_f1_score': 0.0899100899100899, 'train_loss': 0.45205575736133086, 'train_precision': 0.061559507523939815, 'train_recall': 0.16666666666666666, 'val_accuracy': 0.5136612021857924, 'val_f1_score': 0.13574007220216605, 'val_loss': 0.6116585979309523, 'val_precision': 0.10273224043715848, 'val_recall': 0.2}","{'optimizer': 'batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10, 5], 'activation_function': 'relu', 'l_r': 0.01}","l_r_0.01_act_relu_opt_batch_gradient_descent_hl_3_neurons_[16, 10, 5]_epochs_200"
17,"{'_runtime': 2.056235, '_step': 51, '_timestamp': 1728598501.225579, '_wandb.runtime': 2, 'epoch': 50, 'train_accuracy': 0.6142270861833106, 'train_f1_score': 0.2974992723249847, 'train_loss': 0.1528090061380024, 'train_precision': 0.2912161342532586, 'train_recall': 0.3040595129054229, 'val_accuracy': 0.5737704918032787, 'val_f1_score': 0.3614298781633041, 'val_loss': 0.17045289743747527, 'val_precision': 0.33956588909858254, 'val_recall': 0.3863031914893617}","{'optimizer': 'sgd', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10, 5], 'activation_function': 'relu', 'l_r': 0.01}","l_r_0.01_act_relu_opt_sgd_hl_3_neurons_[16, 10, 5]_epochs_200"
18,"{'_runtime': 1.447427, '_step': 100, '_timestamp': 1728598510.570098, '_wandb.runtime': 1, 'epoch': 99, 'train_accuracy': 0.5896032831737346, 'train_f1_score': 0.27639286348688025, 'train_loss': 0.1583416426508722, 'train_precision': 0.2834109624361088, 'train_recall': 0.2697139434932714, 'val_accuracy': 0.5901639344262295, 'val_f1_score': 0.34415575355916983, 'val_loss': 0.16896085039840225, 'val_precision': 0.33343825337600863, 'val_recall': 0.35558510638297874}","{'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.001}",l_r_0.001_act_relu_opt_mini_batch_gradient_descent_hl_1_neurons_[8]_epochs_100
19,"{'_runtime': 1.475206, '_step': 49, '_timestamp': 1728598521.195603, '_wandb.runtime': 1, 'epoch': 48, 'train_accuracy': 0.4692202462380301, 'train_f1_score': 0.19888782818370218, 'train_loss': 0.20868078851406677, 'train_precision': 0.2182675349342016, 'train_recall': 0.18266888215630553, 'val_accuracy': 0.2786885245901639, 'val_f1_score': 0.2392874756420499, 'val_loss': 0.18883739752780485, 'val_precision': 0.26704761904761903, 'val_recall': 0.21675531914893614}","{'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.001, 'optimizer': 'batch_gradient_descent', 'no_of_epochs': 100}",l_r_0.001_act_relu_opt_batch_gradient_descent_hl_1_neurons_[8]_epochs_100
