|  l_r   | activation_function |          optimizer          | neurons_per_layer | epochs |       mse_val        |       mae_val       |       rmse_val      |         r2_val         |      mse_train       |      mae_train      |      rmse_train     |        r2_train       |
| 0.0001 |         relu        | mini_batch_gradient_descent |      [16, 10]     |   71   |  0.0796028928923829  |  0.2502711686597106 |  0.2821398463393338 |  -0.6261546309263841   |  0.0899161808898464  | 0.23963640203077444 |  0.2998602689417963 |   -1.42014585934999   |
| 0.0001 |         relu        |    batch_gradient_descent   |      [16, 10]     |  169   | 0.08088275258744548  |  0.2485911003608357 |  0.2843989321137572 |  -0.6523000346226511   |  0.1117456906471059  |  0.2701937197311159 |  0.334283847421777  |  -2.0076997025830887  |
| 0.0001 |         relu        |             sgd             |      [16, 10]     |   13   | 0.046577416325707104 |  0.1680973571751002 | 0.21581801668467604 |  0.048500896103960134  | 0.06559587447720792  | 0.18288659118645076 | 0.25611691564050965 |  -0.7655507878046801  |
| 0.0001 |         relu        | mini_batch_gradient_descent |      [16, 10]     |  205   | 0.05882750291932137  | 0.19990146542283388 |  0.242543816493683  |  -0.2017479870664809   | 0.044417329531709314 | 0.16568087389771524 | 0.21075419220435287 |  -0.1955180378628507  |
| 0.0001 |         relu        |    batch_gradient_descent   |      [16, 10]     |  399   | 0.08449154161561113  |  0.225039766744056  | 0.29067428784743093 |  -0.7260215889149253   | 0.17919651728728064  | 0.35597332276384497 |  0.4233160961826052 |  -3.8231775975232023  |
| 0.0001 |         relu        |             sgd             |      [16, 10]     |  399   | 0.03617360826400879  |  0.1288612567062414 | 0.19019360731635748 |  0.26103338134506937   | 0.011068808811268503 | 0.08169062624917021 | 0.10520840656177864 |   0.7020766279503632  |
| 0.0001 |         relu        | mini_batch_gradient_descent |    [16, 10, 5]    |  128   | 0.06498999784859102  |  0.2035230295406363 |  0.2549313590921898 |  -0.3276375031779126   | 0.10938408414021908  |  0.2337399553043941 | 0.33073264752700043 |  -1.9441357016158112  |
| 0.0001 |         relu        |    batch_gradient_descent   |    [16, 10, 5]    |  199   |  0.5095929739770753  |  0.6637034239822772 |  0.7138578107558082 |   -9.410136421055425   |  0.2731287773751639  | 0.46521424148550766 |  0.5226172379238594 |   -6.351418544384278  |
| 0.0001 |         relu        |             sgd             |    [16, 10, 5]    |   51   | 0.04995548774638102  |  0.1558499119455478 | 0.22350724316312665 |  -0.02050748141512626  | 0.03710587658715486  | 0.13282986618091436 | 0.19262885709870903 | 0.0012739343325998131 |
| 0.0001 |         relu        | mini_batch_gradient_descent |    [16, 10, 5]    |  244   |  0.0477802849069863  |  0.1516389497998665 | 0.21858701907246528 |   0.0239282927378055   |  0.0589046589347186  | 0.17264137782361963 | 0.24270282020347148 |  -0.5854528629493945  |
| 0.0001 |         relu        |    batch_gradient_descent   |    [16, 10, 5]    |  399   | 0.16259177117451218  |  0.333814051888923  | 0.40322669948121265 |   -2.321479308590002   |  0.287370616756206   | 0.48542109508216874 |  0.5360696006641358 |   -6.734745863966296  |
| 0.0001 |         relu        |             sgd             |    [16, 10, 5]    |   7    | 0.04895889217052106  |  0.178815946589346  | 0.22126656360715927 | -0.0001486922812141689 | 0.057306426720895774 | 0.17523922201648656 |  0.2393876077011836 |  -0.5424355212842542  |
| 0.001  |       sigmoid       | mini_batch_gradient_descent |        [8]        |   41   | 0.04408182160586694  |  0.1423499238346732 | 0.20995671364799684 |  0.09948174319540848   | 0.04120998467471528  | 0.14442754293069643 |  0.2030024252926927 |  -0.1091905015023944  |
| 0.001  |       sigmoid       |    batch_gradient_descent   |        [8]        |  134   | 0.06602864046985722  |  0.1669182107262493 |  0.2569603869662739 |  -0.3488552434770362   | 0.03411249695593947  | 0.13994743429097534 | 0.18469568743189288 |  0.08184247325690575  |
| 0.001  |       sigmoid       |             sgd             |        [8]        |  199   | 0.07197710740053574  |  0.2276626846691872 |  0.2682854960681545 |  -0.47037252375116734  | 0.02577879587861874  | 0.12169040305163056 |  0.1605577649278251 |   0.3061488434312182  |
| 0.001  |       sigmoid       | mini_batch_gradient_descent |        [8]        |   21   | 0.11596517129329909  |  0.2847985965305501 |   0.34053659317803  |  -1.3689754665036098   | 0.059587310763819006 |  0.1788307962032094 | 0.24410512236292584 |  -0.6038268305848637  |
| 0.001  |       sigmoid       |    batch_gradient_descent   |        [8]        |  328   | 0.03916905264862233  |  0.1408889132439826 | 0.19791172943669189 |  0.19984143742530436   | 0.03022139492324492  | 0.11650605283904228 | 0.17384301804572114 |   0.1865737282939783  |
| 0.001  |       sigmoid       |             sgd             |        [8]        |   5    | 0.07383469142001739  | 0.23476019856389613 |  0.2717253970831902 |  -0.5083198739774801   | 0.027023444814715823 | 0.12567683964970702 |  0.1643880920709156 |   0.2726483995819634  |
| 0.001  |       sigmoid       | mini_batch_gradient_descent |      [16, 10]     |   19   |  0.0540819506961417  |  0.1809377817453085 | 0.23255526374636568 |  -0.10480425244041114  | 0.03555802542121376  | 0.13437238031626028 | 0.18856835742301453 |  0.04293524104147306  |
| 0.001  |       sigmoid       |    batch_gradient_descent   |      [16, 10]     |  107   | 0.05521555975987678  |  0.1683301797301484 | 0.23497991352427716 |  -0.12796199912111383  | 0.049158450676864245 |  0.1532097724683485 |  0.2217170509384974 |  -0.32312804748036417 |
| 0.001  |       sigmoid       |             sgd             |      [16, 10]     |  199   | 0.07965823259974009  | 0.24261182350015192 |  0.2822379007145215 |  -0.6272851290543182   | 0.03060231388433217  |  0.1376744231642505 | 0.17493517051848714 |  0.17632107479713355  |
| 0.001  |       sigmoid       | mini_batch_gradient_descent |      [16, 10]     |   18   | 0.05187155775246963  | 0.17001025323770716 |  0.2277532826381864 | -0.059649603018577135  | 0.04182719154214742  |  0.1483811220691307 |  0.2045169712814744 |  -0.1258029802553362  |
| 0.001  |       sigmoid       |    batch_gradient_descent   |      [16, 10]     |   5    | 0.07586038888760487  |  0.2223252179676538 |  0.2754276472825574 |  -0.5497015021832112   | 0.03497890214358339  |  0.1433488709307935 | 0.18702647444568743 |  0.05852267801377231  |
| 0.001  |       sigmoid       |             sgd             |      [16, 10]     |  399   | 0.04317858714100062  | 0.16597203100509064 |  0.207794579190605  |   0.1179333201982743   | 0.019108081166590515 | 0.10391608928638656 | 0.13823198315364832 |  0.48569497661271765  |
| 0.001  |       sigmoid       | mini_batch_gradient_descent |    [16, 10, 5]    |   17   | 0.05508386011386358  | 0.17625773558559496 |  0.2346995102548439 |  -0.1252715945205516   | 0.03888648983877092  | 0.14048791725181126 | 0.19719657664059717 |  -0.04665229813585392 |
| 0.001  |       sigmoid       |    batch_gradient_descent   |    [16, 10, 5]    |  199   |  0.8137520478178276  |  0.8749855529032184 |  0.902082062684891  |  -15.623600134404317   |  1.0420899331859976  |  1.0026468523795231 |  1.0208280624992625 |  -27.048451479050662  |
| 0.001  |       sigmoid       |             sgd             |    [16, 10, 5]    |   4    | 0.06834983556403633  | 0.21657276347115637 |  0.2614380147645639 |  -0.39627339644273274  |  0.0377747338932351  | 0.15206495072492918 | 0.19435723267538849 |  -0.01672874576108807 |
| 0.001  |       sigmoid       | mini_batch_gradient_descent |    [16, 10, 5]    |  399   | 0.05921876363588899  |  0.190187258273688  |  0.2433490571912885 |  -0.2097407923908572   | 0.03646758472010715  | 0.13938821062526197 |  0.1909648782370914 |  0.01845392800898515  |
| 0.001  |       sigmoid       |    batch_gradient_descent   |    [16, 10, 5]    |  231   | 0.04813771701166298  | 0.15328903490112816 |  0.2194030925298524 |  0.016626549658599332  | 0.049757851957176906 |  0.1499364957036781 | 0.22306468110657257 |  -0.3392612785882878  |
| 0.001  |       sigmoid       |             sgd             |    [16, 10, 5]    |   5    | 0.07283370143966603  | 0.22946242539482176 |  0.2698771969612587 |  -0.4878713144727409   | 0.03510928611472735  | 0.14791407949948462 | 0.18737472111981207 |  0.05501331824374123  |
| 0.0001 |       sigmoid       | mini_batch_gradient_descent |        [8]        |   96   | 0.08009843512416222  | 0.20891602145319313 |  0.2830166693397444 |  -0.6362777340668311   | 0.10827802461114966  | 0.22052597304552415 | 0.32905626359507223 |  -1.9143654715751104  |
| 0.0001 |       sigmoid       |    batch_gradient_descent   |        [8]        |  199   |  0.4444956944361442  |  0.5955591568947455 |  0.6667051030524247 |   -8.080307331435444   | 0.34778284705006407  |  0.5563188131279106 |  0.589731165065968  |   -8.360775879396908  |
